Год,Категория,Зарплата,Кумулятивный_ИПЦ,Реальная зарплата,Базовая зарплата
2000,"Сельское хозяйство, охота и лесное хозяйство",985.1,1.202,819.5507487520799,985.1
2000,"Рыболовство, рыбоводство",2845.6,1.202,2367.3876871880198,2845.6
2000,Добыча топливно-энергетических полезных ископаемых,,1.202,,
2000,"Добыча полезных ископаемых, кроме топливно-энергетических",5940.2,1.202,4941.930116472546,5940.2
2000,Обрабатывающие производства,2365.2,1.202,1967.720465890183,2365.2
2000,"Производство пищевых продуктов, включая напитки, и табака",,1.202,,
2000,Текстильное и швейное производство,1214.8,1.202,1010.648918469218,1214.8
2000,"Производство кожи, изделий из кожи и производство обуви",,1.202,,
2000,Обработка древесины и производство изделий из дерева,1739.1,1.202,1446.8386023294509,1739.1
2000,Целлюлозно-бумажное производство; издательская и полиграфическая деятельность,2736.6,1.202,2276.7054908485857,2736.6
2000,Производство кокса и нефтепродуктов,4916.3,1.202,4090.099833610649,4916.3
2000,Химическое производство,2754.6,1.202,2291.6805324459233,2754.6
2000,Производство резиновых и пластмассовых изделий,,1.202,,
2000,Производство прочих неметаллических минеральных продуктов,2182.0,1.202,1815.307820299501,2182.0
2000,Металлургическое производство и производство готовых металлических изделий,,1.202,,
2000,Производство машин и оборудования,1975.3,1.202,1643.3444259567389,1975.3
2000,"Производство электрооборудования, электронного и оптического оборудования",2003.6,1.202,1666.8885191347754,2003.6
2000,Производство транспортных средств и оборудования,2454.1,1.202,2041.6805324459235,2454.1
2000,Прочие производства,2053.2,1.202,1708.153078202995,2053.2
2000,"Производство и распределение электроэнергии, газа и воды",3156.5,1.202,2626.0399334442595,3156.5
2000,Строительство,2639.8,1.202,2196.173044925125,2639.8
2000,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",1584.5,1.202,1318.2196339434277,1584.5
2000,Гостиницы и рестораны,1640.0,1.202,1364.3926788685524,1640.0
2000,Транспорт и связь,3220.2,1.202,2679.034941763727,3220.2
2000,Из них связь,2879.2,1.202,2395.341098169717,2879.2
2000,Финансовая деятельность,5232.2,1.202,4352.9118136439265,5232.2
2000,"Операции с недвижимым имуществом, аренда и предоставление услуг",2456.7,1.202,2043.8435940099832,2456.7
2000,Государственное управление и обеспечение военной безопасности; социальное страхование,2712.1,1.202,2256.3227953410983,2712.1
2000,Образование,1240.2,1.202,1031.7803660565723,1240.2
2000,Здравоохранение и предоставление социальных услуг,1333.3,1.202,1109.234608985025,1333.3
2000,"Предоставление прочих коммунальных, социальных и персональных услуг",1548.0,1.202,1287.8535773710482,1548.0
2000,"Производство лекарственных средств и материалов, применяемых в медицинских целях",,1.202,,
2000,"Деятельность профессиональная,научная и техническая",,1.202,,
2000,Деятельность административная и сопутствующие дополнительные услуги,,1.202,,
2001,"Сельское хозяйство, охота и лесное хозяйство",1434.6,1.4253315999999998,1006.5026271781248,1168.13158
2001,"Рыболовство, рыбоводство",3839.3,1.4253315999999998,2693.6188042137005,3374.3124799999996
2001,Добыча топливно-энергетических полезных ископаемых,,1.4253315999999998,,
2001,"Добыча полезных ископаемых, кроме топливно-энергетических",9099.2,1.4253315999999998,6383.917959862815,7043.88916
2001,Обрабатывающие производства,3446.6,1.4253315999999998,2418.103969630646,2804.6541599999996
2001,"Производство пищевых продуктов, включая напитки, и табака",,1.4253315999999998,,
2001,Текстильное и швейное производство,1764.8,1.4253315999999998,1238.1680164812176,1440.50984
2001,"Производство кожи, изделий из кожи и производство обуви",,1.4253315999999998,,
2001,Обработка древесины и производство изделий из дерева,2310.3,1.4253315999999998,1620.885974884722,2062.22478
2001,Целлюлозно-бумажное производство; издательская и полиграфическая деятельность,4309.0,1.4253315999999998,3023.1561553816673,3245.0602799999997
2001,Производство кокса и нефтепродуктов,7012.4,1.4253315999999998,4919.837601299235,5829.74854
2001,Химическое производство,3901.8,1.4253315999999998,2737.4682494936624,3266.4046799999996
2001,Производство резиновых и пластмассовых изделий,,1.4253315999999998,,
2001,Производство прочих неметаллических минеральных продуктов,3220.0,1.4253315999999998,2259.123420823618,2587.4156
2001,Металлургическое производство и производство готовых металлических изделий,,1.4253315999999998,,
2001,Производство машин и оборудования,3073.5,1.4253315999999998,2156.340321087388,2342.31074
2001,"Производство электрооборудования, электронного и оптического оборудования",2998.8,1.4253315999999998,2103.9314640887783,2375.86888
2001,Производство транспортных средств и оборудования,3664.6,1.4253315999999998,2571.050834767152,2910.0717799999998
2001,Прочие производства,2738.2,1.4253315999999998,1921.0968170494502,2434.6845599999997
2001,"Производство и распределение электроэнергии, газа и воды",4434.8,1.4253315999999998,3111.416318841174,3742.9777
2001,Строительство,3859.3,1.4253315999999998,2707.6506267032883,3130.27484
2001,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",2294.9,1.4253315999999998,1610.0814715677393,1878.9000999999998
2001,Гостиницы и рестораны,2403.6,1.4253315999999998,1686.3444267986483,1944.712
